         1 Phqgh  58.7  67.5  73.7 199.9  66.6 
         2 Umeay  65.9  61.2  59.1 186.2  62.1 
         3 Lnlfd  70.6  76.7  69.0 216.2  72.1 
         4 Xfirc  72.6  64.1  70.9 207.6  69.2 
         5 Vscxg  53.4  61.7  87.7 202.7  67.6 
         6 Gbwkf  97.6  86.2  61.8 245.5  81.8 
         7 Nqdux  78.9  71.7  58.8 209.3  69.8 
         8 Wfnfo  64.4  50.7  57.3 172.3  57.4 
         9 Zvsrt  74.4  58.7  82.6 215.7  71.9 
        10 Kjpre  88.2  86.0  68.0 242.2  80.7 
        11 Pggxr  68.4  98.3  67.1 233.8  77.9 
        12 Pnrvy  64.0  68.1  58.4 190.5  63.5 
        13 Stmwc  81.3  77.2  75.4 233.9  78.0 
        14 Ysyyc  80.6  60.6  63.8 205.0  68.3 
        15 Qpevi  69.9  50.6  74.9 195.5  65.2 
        16 Keffm  81.5  76.6  77.6 235.7  78.6 
        17 Znimk  70.8  70.3 102.9 244.0  81.3 
        18 Kasvw  62.2  45.9  75.5 183.7  61.2 
        19 Srenz  72.0  66.8  73.8 212.6  70.9 
        20 Kycxf  52.5  64.9  54.6 172.0  57.3 
        21 Xtlsg  70.4  60.4  75.0 205.8  68.6 
        22 Ypsfa  83.3  83.8  68.8 236.0  78.7 
        23 Dpooe  52.2  41.3  62.7 156.2  52.1 
        24 Fxzbc  74.5  59.2  63.9 197.6  65.9 
        25 Oejuv  66.5  71.8  55.9 194.2  64.7 
        26 Pvabo  72.4  66.0  71.3 209.7  69.9 
        27 Ygpoe  43.3  67.9  76.1 187.4  62.5 
        28 Ylfpb  70.6  83.3  75.5 229.4  76.5 
        29 Npljv  63.5  70.1  68.8 202.5  67.5 
        30 Rvipy  80.4  75.3  86.9 242.6  80.9 
        31 Amyeh  69.8  72.2  63.5 205.6  68.5 
        32 Wqnqr  85.0  78.6  74.5 238.1  79.4 
        33 Qpmxu  76.0  59.2  78.0 213.3  71.1 
        34 Jjloo  73.2  61.2  79.4 213.8  71.3 
        35 Vaowu  61.7  45.2  62.6 169.6  56.5 
        36 Xwhms  84.3  67.6  83.9 235.8  78.6 
        37 Ncbxc  67.1  76.3  76.0 219.5  73.2 
        38 Oksfz  69.9  62.8  80.1 212.7  70.9 
        39 Kvatx  75.0  93.8  69.0 237.8  79.3 
        40 Dknly  66.2  76.1  58.4 200.7  66.9 
        41 Jyhfi  56.2  61.1  71.2 188.4  62.8 
        42 Xjswn  60.6  63.8  92.5 216.9  72.3 
        43 Kkufn  67.5  75.9  64.9 208.4  69.5 
        44 Uxxzr  64.4  76.0  65.5 205.8  68.6 
        45 Zbmnm  83.0  74.8  52.9 210.7  70.2 
        46 Gqook  71.6  62.4  72.5 206.5  68.8 
        47 Etlyh  81.4  75.1  71.8 228.3  76.1 
        48 Nkoau  64.6  74.4  81.0 219.9  73.3 
        49 Gzqrc  61.3  61.7  72.6 195.6  65.2 
        50 Ddiut  54.4  61.8  54.7 170.9  57.0 
        51 Eiojw  72.9  76.6  68.8 218.3  72.8 
        52 Ayyzp  58.9  76.2  57.5 192.6  64.2 
        53 Vscmp  86.2  81.0  82.5 249.7  83.2 
        54 Sajlf  74.7  64.1  79.7 218.6  72.9 
        55 Vgubf  60.1  64.3  74.0 198.4  66.1 
        56 Aaovl  84.7  58.5  72.9 216.1  72.0 
        57 Zylnt  58.3  77.1  82.0 217.4  72.5 
        58 Rkdcp  56.0  64.3  70.3 190.5  63.5 
        59 Wsrte  75.8  73.9  74.4 224.1  74.7 
        60 Sjwhd  65.6  54.6  71.4 191.6  63.9 
        61 Izcob  64.1  59.1  77.1 200.3  66.8 
        62 Zcnfw  75.5  83.5  61.5 220.5  73.5 
        63 Lqijt  82.8  69.6  70.5 222.9  74.3 
        64 Vdwvx  63.9  48.3  75.1 187.3  62.4 
        65 Hrcbl  75.4  75.2  78.3 228.8  76.3 
        66 Dvgyl  67.1  81.9  62.5 211.5  70.5 
        67 Wgbus  74.3  48.3  71.7 194.2  64.7 
        68 Bmbor  60.4  76.8  57.2 194.4  64.8 
        69 Xtlhc  67.4  66.7  70.8 204.9  68.3 
        70 Smpxo  68.0  70.5  60.1 198.5  66.2 
        71 Hgmgn  79.7  76.5  63.2 219.4  73.1 
        72 Keufd  77.3  78.9  83.0 239.2  79.7 
        73 Xotog  54.3  66.7  64.4 185.4  61.8 
        74 Bgxpe  74.1  70.5  83.2 227.8  75.9 
        75 Yanfe  76.3  67.8  55.9 200.1  66.7 
        76 Tcuke  59.4  79.9  75.9 215.2  71.7 
        77 Pzshk  71.0  69.6  79.3 220.0  73.3 
        78 Ljugg  57.4  70.5  68.5 196.4  65.5 
        79 Gekjd  75.8  56.5  71.7 203.9  68.0 
        80 Qzjen  70.6  75.4  83.8 229.8  76.6 
        81 Pevqg  75.6  80.6  78.5 234.7  78.2 
        82 Xiepj  65.5  58.9  62.4 186.8  62.3 
        83 Srdzj  66.4  78.5  76.3 221.2  73.7 
        84 Azujl  70.3  77.1  58.5 205.9  68.6 
        85 Lchhb  84.0  69.5  70.8 224.3  74.8 
        86 Fqmki  57.3  63.4  65.7 186.3  62.1 
        87 Mwzob  58.6  64.3  77.3 200.2  66.7 
        88 Iwybx  64.8  81.8  63.6 210.2  70.1 
        89 Duunf  62.8  72.7  81.9 217.5  72.5 
        90 Sksrs  71.4  89.4  73.9 234.7  78.2 
        91 Rtekm  75.1  72.7  76.2 223.9  74.6 
        92 Qdcyz  60.0  90.1  66.8 216.9  72.3 
        93 Jeeuh  77.9  73.7  70.8 222.4  74.1 
        94 Msrqc  85.4  64.7  49.0 199.2  66.4 
        95 Oziji  48.9  54.3  76.9 180.1  60.0 
        96 Pfion  73.1  78.6  47.2 199.0  66.3 
        97 Eeddp  66.6  61.7  74.8 203.1  67.7 
        98 Szrna  77.5  72.2  48.8 198.4  66.1 
        99 Vymmt  76.1  73.9  89.5 239.6  79.9 
       100 Atbdz  66.4  75.4  75.5 217.3  72.4 
